"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"48","Thursday 28th January 2021 18:58","https://sullygnome.com/channel/hasanabi/stream/41493199406","601","37435088","62288","85907","9019","901","381539","38153","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Legend of Zelda: Breath of the Wild|The_Legend_of_Zelda_Breath_Of_The_Wild|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Legend%20of%20Zelda:%20Breath%20of%20the%20Wild-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"49","Wednesday 27th January 2021 19:22","https://sullygnome.com/channel/hasanabi/stream/41480998798","667","22884103","34309","51714","3192","283","218267","18812","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Mario Kart 8|Mario_Kart_8|https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"50","Tuesday 26th January 2021 18:57","https://sullygnome.com/channel/hasanabi/stream/41467318894","767","22467731","29293","47082","2631","202","215521","16210","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"51","Monday 25th January 2021 19:06","https://sullygnome.com/channel/hasanabi/stream/41453471374","608","20908512","34389","46891","2359","230","210716","20557","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"52","Saturday 23rd January 2021 18:52","https://sullygnome.com/channel/hasanabi/stream/41428049518","487","11009609","22607","35636","1112","134","147923","17930","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Resident Evil Village|Resident_Evil_Village|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%20Village-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"53","Friday 22nd January 2021 19:02","https://sullygnome.com/channel/hasanabi/stream/41414054094","537","18112473","33729","43890","1723","191","173662","19295","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"54","Thursday 21st January 2021 19:01","https://sullygnome.com/channel/hasanabi/stream/41401730126","628","22830312","36354","51757","2276","216","216585","20145","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|HITMAN 3|Hitman_3|https://static-cdn.jtvnw.net/ttv-boxart/HITMAN%203-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"55","Wednesday 20th January 2021 16:00","https://sullygnome.com/channel/hasanabi/stream/41388083982","764","51302600","67150","128468","7183","563","425903","32757","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"56","Tuesday 19th January 2021 19:44","https://sullygnome.com/channel/hasanabi/stream/41377356750","735","19711965","26819","56053","3247","265","229867","18355","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"57","Monday 18th January 2021 20:03","https://sullygnome.com/channel/hasanabi/stream/41365417326","716","16113580","22505","46272","2377","198","186751","15143","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"58","Sunday 17th January 2021 21:47","https://sullygnome.com/channel/hasanabi/stream/41353847230","702","12012624","17112","30358","2457","209","156516","13320","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"59","Saturday 16th January 2021 19:35","https://sullygnome.com/channel/hasanabi/stream/41338601982","685","13293110","19406","36824","1615","140","167399","14556","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rust|Rust|https://static-cdn.jtvnw.net/ttv-boxart/Rust-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
